100, 1
1000, 2
5000, 19
10000, 85
20000, 413
40000, 1957
80000, 8328
120000, 18939
160000, 33878
200000, 53205
240000, 76965
280000, 104713
320000, 136872
360000, 173470
400000, 213879
450000, 270903
500000, 335294
